Team Name, Git Repo (it should end with .git)
Lucid, https://github.com/yj7o5/Lucid.git
Decaf, https://github.com/cflores713/decaf.git
Javalanche, https://github.com/dwijap/Javalanche.git
uhed, https://github.com/awrohan/uhed.git
ClicheTumbleweed, https://github.com/jmhayes3/Tumbleweed.git
CrashOverride, https://github.com/ClaytonMcCray/CrashOverride.git
Team_1114, https://github.com/NicGraves/Team-1114.git
Coolteam12, https://github.com/coolteam12/COSC4353.git
The Code Frogs, https://github.com/ColbyK/Simple-Java-Editor.git
A_Cup_of_Java_Plz, https://github.com/jillianfredette/SoftwareDesign
C--,https://github.com/KeithDinh/Java-Code-Editor.git
Wolverines, https://github.com/Ljw1765/SoftwareDesign.git
Genius-tech-bee, https://github.com/Genius-tech-bee/Project_COSC4353
Avengers, https://github.com/ervincanigur/code-editor.git
Smash Coders, https://github.com/ZarazuaSanchez/HomeMadeCodeEditor.git
